扫描信息,,,,,
扫描时间,2026-01-29 02:15:03,,,,
在线主机数量,3,,,,
,,,,,
主机,操作系统,端口,协议,服务名称,服务版本,置信度,漏洞数量,扫描时间
192.168.47.1,Windows,21,TCP,FileZilla Server,,90,1,2026-01-29 02:15:03
192.168.47.1,Windows,110,TCP,,,0,1,2026-01-29 02:15:03
192.168.47.1,Windows,143,TCP,,,0,1,2026-01-29 02:15:03
192.168.47.1,Windows,80,TCP,HTTP Server,,85,1,2026-01-29 02:15:03
192.168.47.1,Windows,3306,TCP,MySQL Database,,85,1,2026-01-29 02:15:03
192.168.47.1,Windows,25,TCP,,,0,1,2026-01-29 02:15:03
192.168.47.1,Windows,139,TCP,,,0,1,2026-01-29 02:15:03
192.168.47.1,Windows,445,TCP,,,0,1,2026-01-29 02:15:03
192.168.47.1,Windows,135,TCP,,,0,1,2026-01-29 02:15:03
192.168.47.3,Unknown,143,TCP,,,0,0,2026-01-29 02:15:03
192.168.47.3,Unknown,25,TCP,,,0,0,2026-01-29 02:15:03
192.168.47.3,Unknown,110,TCP,,,0,0,2026-01-29 02:15:03
192.168.47.2,Unknown,143,TCP,,,0,0,2026-01-29 02:15:03
192.168.47.2,Unknown,110,TCP,,,0,0,2026-01-29 02:15:03
192.168.47.2,Unknown,25,TCP,,,0,0,2026-01-29 02:15:03
